(id: int,idVerticeOrigem: int ,idVerticeDestino: int,peso: int)

1,1,2,63
2,2,3,45
3,3,4,90
4,3,38,76
5,3,93,1
6,3,88,1
7,4,5,26
8,4,6,63
9,5,6,45
10,5,62,1
11,6,7,90
12,7,8,180
13,8,7,180
14,8,9,34
15,9,34,67
16,9,10,17
17,9,66,1
18,10,11,24
19,11,12,17
20,11,13,140
21,11,65,1
22,12,8,32
23,13,11,140
24,13,33,130
25,13,14,78
26,14,13,78
27,14,32,190
28,14,15,37
29,15,16,81
30,16,17,100
31,18,17,120
32,19,18,92
33,19,68,1
34,19,69,1
35,20,19,100
36,20,32,95
37,20,70,1
38,21,20,85
39,22,21,10
40,23,22,53
41,23,27,49
42,24,23,22
43,25,24,18
44,26,58,120
45,26,25,30
46,26,74,1
47,26,95,1
48,27,26,25
49,28,29,40
50,28,26,17
51,29,30,61
52,30,43,22
53,30,31,87
54,30,94,1
55,31,30,87
56,31,32,69
57,31,22,100
58,32,33,80
59,32,31,69
60,32,14,190
61,32,20,95
62,33,10,91
63,33,13,130
64,33,67,1
65,34,35,73
66,34,31,160
67,34,71,1
68,35,37,77
69,35,36,51
70,36,6,28
71,36,63,1
72,37,38,92
73,37,42,120
74,38,41,100
75,38,89,1
76,39,1,58
77,39,38,110
78,39,92,1
79,40,39,81
80,40,90,1
81,41,40,130
82,41,42,85
83,41,54,130
84,41,91,1
85,42,37,120
86,42,41,85
87,42,43,110
88,42,56,110
89,42,85,1
90,42,84,1
91,43,35,140
92,43,42,110
93,43,86,1
94,44,40,110
95,44,45,61
96,44,82,1
97,45,46,59
98,45,47,120
99,47,49,46
100,47,81,1
101,48,49,48
102,48,78,1
103,48,79,1
104,49,50,9
105,49,80,1
106,50,51,23
107,50,53,24
108,51,52,82
109,51,53,33
110,51,83,1
111,52,44,35
112,53,55,15
113,53,57,100
114,54,55,16
115,54,51,26
116,55,56,75
117,56,28,110
118,56,87,1
119,56,72,1
120,56,73,1
121,57,53,100
122,57,58,67
123,57,75,1
124,57,77,1
125,58,57,67
126,58,59,17
127,58,61,28
128,59,60,48
129,60,61,80
130,60,76,1
131,61,58,28
132,61,25,120
133,62,5,1
134,63,6,1
135,65,11,1
136,66,34,1
137,67,10,1
138,68,18,1
139,69,18,1
140,70,19,1
141,71,31,1
142,72,28,1
143,73,28,1
144,74,58,1
145,75,57,1
146,76,60,1
147,77,57,1
148,78,48,1
149,79,49,1
150,80,49,1
151,81,49,1
152,82,45,1
153,83,52,1
154,84,56,1
155,85,42,1
156,86,43,1
157,87,28,1
158,88,4,1
159,89,41,1
160,90,39,1
161,91,40,1
162,92,1,1
163,93,38,1
164,94,30,1
165,95,58,1
166,8,64, 1
167,64,8,1
